run_id,suite,prompt_id,rubric,passed,reason,latency_ms,input_tokens,output_tokens,human_score
gpt_4o_mini,factuality,fact_01,judge,False,The response does not specify the weighted sum or the use of scaled dot-product similarity.,1844,49,29,
gpt_4o_mini,factuality,fact_02,judge,True,The response accurately defines RAG and explains the problem it solves in two sentences.,2690,59,57,
gpt_4o_mini,factuality,fact_03,contains,True,"contains all of ['self-attention', 'feed-forward']",1629,47,16,
gpt_4o_mini,factuality,fact_04,judge,True,The response correctly states that BPE does not always split at whitespace boundaries and provides a valid justification.,1616,71,27,
gpt_4o_mini,factuality,fact_05,judge,False,The response provides a specific number instead of the expected range.,2440,67,36,
gpt_4o_mini,factuality,fact_06,judge,False,The response does not match the expected answer in terms of specific details and phrasing.,1458,48,33,
gpt_4o_mini,factuality,fact_07,contains,True,"contains all of ['query', 'key', 'value']",1511,46,31,
gpt_4o_mini,factuality,fact_08,judge,True,The response is factually correct and meets the format constraints.,1607,57,27,
gpt_4o_mini,factuality,fact_09,judge,True,The response correctly identifies the distinction between embedding models and generative LLMs.,1764,63,41,
gpt_4o_mini,factuality,fact_10,judge,True,The response accurately describes chain-of-thought prompting in one sentence.,1275,48,31,
gpt_4o_mini,factuality,fact_11,judge,False,The response does not mention the quadratic increase in compute and memory cost for larger context windows.,4806,55,181,
gpt_4o_mini,factuality,fact_12,judge,True,The response correctly names two common vector-store choices.,920,49,10,
gpt_4o_mini,factuality,fact_13,judge,False,The response does not accurately reflect the expected answer's focus on discarding lower probability tokens.,1743,51,30,
gpt_4o_mini,factuality,fact_14,judge,False,The justification does not mention server-side storage of processed prefix tokens.,1328,68,30,
gpt_4o_mini,factuality,fact_15,judge,False,The response is factually correct and does not meet the criteria of being incorrect or fabricated.,1340,53,33,
gpt_4o_mini,instruction_following,inst_01,judge,True,The response meets the format and content requirements.,834,55,5,
gpt_4o_mini,instruction_following,inst_02,judge,False,The name provided does not match the expected format.,1815,80,20,
gpt_4o_mini,instruction_following,inst_03,judge,False,The response includes more than two bullet points.,1331,61,43,
gpt_4o_mini,instruction_following,inst_04,judge,False,Response exceeds 10 words.,1066,60,11,
gpt_4o_mini,instruction_following,inst_05,exact,True,exact match,774,56,6,
gpt_4o_mini,instruction_following,inst_06,judge,False,The response contains six colors instead of five.,1436,55,10,
gpt_4o_mini,instruction_following,inst_07,judge,True,The response is a valid JSON array containing the integers 1 through 5.,1024,57,15,
gpt_4o_mini,instruction_following,inst_08,exact,True,exact match,816,56,2,
gpt_4o_mini,instruction_following,inst_09,judge,False,The response does not end with a period and contains trailing text.,1023,53,20,
gpt_4o_mini,instruction_following,inst_10,exact,True,exact match,717,55,1,
gpt_4o_mini,instruction_following,inst_11,judge,True,The response meets the syllable pattern and format requirements.,1328,67,21,
gpt_4o_mini,instruction_following,inst_12,judge,True,The response correctly formats the Markdown table as specified.,1320,63,28,
gpt_4o_mini,instruction_following,inst_13,judge,True,The response is a correct translation and matches the expected output format.,663,53,4,
gpt_4o_mini,instruction_following,inst_14,judge,True,The response matches the expected answer exactly.,958,59,13,
gpt_4o_mini,instruction_following,inst_15,exact,True,exact match,879,52,1,
gpt_4o_mini,reasoning,reas_01,contains,True,contains all of ['5.40'],899,82,3,
gpt_4o_mini,reasoning,reas_02,exact,True,exact match,807,62,1,
gpt_4o_mini,reasoning,reas_03,exact,False,"expected '4', got 'Bob is 4 years old.'",788,68,7,
gpt_4o_mini,reasoning,reas_04,contains,True,contains all of ['0.3'],749,81,3,
gpt_4o_mini,reasoning,reas_05,exact,False,"expected '403', got '401'",820,54,1,
gpt_4o_mini,reasoning,reas_06,exact,False,"expected '28', got '32'",922,54,1,
gpt_4o_mini,reasoning,reas_07,exact,True,exact match,601,63,1,
gpt_4o_mini,reasoning,reas_08,judge,False,The response contradicts the expected answer.,804,80,12,
gpt_4o_mini,reasoning,reas_09,exact,False,"expected '28', got '26'",783,56,1,
gpt_4o_mini,reasoning,reas_10,contains,True,contains all of ['153.86'],879,63,3,
gpt_4o_mini,reasoning,reas_11,exact,False,"expected '6', got '8'",757,67,1,
gpt_4o_mini,reasoning,reas_12,contains,True,contains all of ['21'],882,69,3,
gpt_4o_mini,reasoning,reas_13,exact,True,exact match,769,62,1,
gpt_4o_mini,reasoning,reas_14,exact,False,"expected 'Friday', got 'SATURDAY'",766,62,2,
gpt_4o_mini,reasoning,reas_15,exact,False,"expected '10', got '5'",818,77,1,
