run_id,suite,prompt_id,rubric,passed,reason,latency_ms,input_tokens,output_tokens,human_score
gpt_4o,factuality,fact_01,judge,False,The response does not specify that the weights come from scaled dot-product similarity between query and key vectors.,1121,49,31,
gpt_4o,factuality,fact_02,judge,True,The response accurately defines RAG and explains the problem it solves in two sentences.,2171,59,55,
gpt_4o,factuality,fact_03,contains,True,"contains all of ['self-attention', 'feed-forward']",1178,47,32,
gpt_4o,factuality,fact_04,judge,True,The response correctly states that BPE can merge subword units across whitespace boundaries.,1183,71,22,
gpt_4o,factuality,fact_05,judge,False,The response states '10 billion parameters' which is not within the specified range of 1B-10B.,1306,67,39,
gpt_4o,factuality,fact_06,judge,False,The response does not mention reducing internal covariate shift.,1431,48,26,
gpt_4o,factuality,fact_07,contains,True,"contains all of ['query', 'key', 'value']",1229,46,21,
gpt_4o,factuality,fact_08,judge,False,The response does not explicitly mention 'relevance to the query' as required by the expected answer.,1435,57,26,
gpt_4o,factuality,fact_09,judge,True,The response correctly states 'False' and provides a valid justification.,1535,63,66,
gpt_4o,factuality,fact_10,judge,True,The response accurately describes chain-of-thought prompting in one sentence.,1431,48,37,
gpt_4o,factuality,fact_11,judge,False,The response does not mention the quadratic increase in compute and memory cost for larger context windows.,2459,55,130,
gpt_4o,factuality,fact_12,judge,True,The response correctly names two valid vector-store choices.,1227,49,27,
gpt_4o,factuality,fact_13,judge,False,The response does not mention discarding the rest of the tokens before the sampling step.,1284,51,28,
gpt_4o,factuality,fact_14,judge,False,The justification does not mention server-side storage of processed prefix tokens.,1254,68,30,
gpt_4o,factuality,fact_15,judge,False,The response accurately describes hallucination and is factually correct.,1557,53,45,
gpt_4o,instruction_following,inst_01,judge,True,The response meets the format and content requirements.,921,55,5,
gpt_4o,instruction_following,inst_02,judge,True,The response is a valid JSON object that matches the expected answer.,878,80,14,
gpt_4o,instruction_following,inst_03,judge,False,The response contains more than two bullet points.,1774,61,42,
gpt_4o,instruction_following,inst_04,judge,False,Response exceeds 10 words.,1234,60,10,
gpt_4o,instruction_following,inst_05,exact,True,exact match,1004,56,6,
gpt_4o,instruction_following,inst_06,judge,False,The response contains six colors instead of five.,1052,55,9,
gpt_4o,instruction_following,inst_07,judge,True,The response is a valid JSON array containing the integers 1 through 5.,1014,57,15,
gpt_4o,instruction_following,inst_08,exact,True,exact match,819,56,2,
gpt_4o,instruction_following,inst_09,judge,False,The response does not end with a period and has trailing text.,1741,53,18,
gpt_4o,instruction_following,inst_10,exact,True,exact match,815,55,1,
gpt_4o,instruction_following,inst_11,judge,True,The response meets the syllable pattern and format requirements.,1845,67,17,
gpt_4o,instruction_following,inst_12,judge,True,The response correctly formats the Markdown table as specified in the prompt.,1228,63,31,
gpt_4o,instruction_following,inst_13,judge,True,The response is a correct translation and matches the expected output format.,921,53,4,
gpt_4o,instruction_following,inst_14,judge,True,The response matches the expected answer exactly.,941,59,13,
gpt_4o,instruction_following,inst_15,exact,True,exact match,1003,52,1,
gpt_4o,reasoning,reas_01,contains,True,contains all of ['5.40'],1840,82,3,
gpt_4o,reasoning,reas_02,exact,True,exact match,1054,62,1,
gpt_4o,reasoning,reas_03,exact,True,exact match,790,68,1,
gpt_4o,reasoning,reas_04,contains,True,contains all of ['0.3'],1023,81,3,
gpt_4o,reasoning,reas_05,exact,False,"expected '403', got '409'",857,54,1,
gpt_4o,reasoning,reas_06,exact,True,exact match,986,54,1,
gpt_4o,reasoning,reas_07,exact,True,exact match,818,63,1,
gpt_4o,reasoning,reas_08,judge,True,The response is correct and matches the expected output.,1167,80,2,
gpt_4o,reasoning,reas_09,exact,True,exact match,843,56,1,
gpt_4o,reasoning,reas_10,contains,True,contains all of ['153.86'],883,63,3,
gpt_4o,reasoning,reas_11,exact,True,exact match,791,67,1,
gpt_4o,reasoning,reas_12,contains,True,contains all of ['21'],836,69,3,
gpt_4o,reasoning,reas_13,exact,True,exact match,1426,62,1,
gpt_4o,reasoning,reas_14,exact,True,exact match,1294,62,1,
gpt_4o,reasoning,reas_15,exact,False,"expected '10', got '5'",846,77,1,
